,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
4,2020,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",76.0,11.0,4.78,0.0,5.22,0.0,1.0,1.0,0.0,692.0,398.0,0.0,178.0,0.0,116.0
280,2020,12,B6,JetBlue Airways,ALB,"Albany, NY: Albany International",20.0,5.0,2.96,0.86,1.17,0.0,0.0,0.0,0.0,414.0,325.0,57.0,32.0,0.0,0.0
335,2020,12,DL,Delta Air Lines Inc.,ALB,"Albany, NY: Albany International",32.0,5.0,2.47,0.0,2.53,0.0,0.0,0.0,0.0,327.0,146.0,0.0,181.0,0.0,0.0
442,2020,12,F9,Frontier Airlines Inc.,ALB,"Albany, NY: Albany International",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,2020,12,G4,Allegiant Air,ALB,"Albany, NY: Albany International",18.0,3.0,1.76,0.0,1.24,0.0,0.0,0.0,0.0,352.0,308.0,0.0,44.0,0.0,0.0
850,2020,12,OH,PSA Airlines Inc.,ALB,"Albany, NY: Albany International",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
947,2020,12,OO,SkyWest Airlines Inc.,ALB,"Albany, NY: Albany International",15.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,331.0,272.0,59.0,0.0,0.0,0.0
1289,2020,12,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",168.0,17.0,10.64,0.0,2.8,0.0,3.56,9.0,0.0,643.0,394.0,0.0,120.0,0.0,129.0
1382,2020,12,YV,Mesa Airlines Inc.,ALB,"Albany, NY: Albany International",2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
1480,2020,12,YX,Republic Airline,ALB,"Albany, NY: Albany International",113.0,15.0,3.94,1.76,4.11,0.0,5.19,6.0,0.0,1511.0,181.0,854.0,164.0,0.0,312.0
1638,2019,12,F9,Frontier Airlines Inc.,ALB,"Albany, NY: Albany International",21.0,2.0,0.25,0.0,1.16,0.0,0.6,1.0,0.0,73.0,14.0,0.0,25.0,0.0,34.0
1731,2019,12,G4,Allegiant Air,ALB,"Albany, NY: Albany International",30.0,6.0,2.78,1.0,2.19,0.0,0.03,0.0,0.0,338.0,136.0,78.0,121.0,0.0,3.0
1875,2019,12,MQ,Envoy Air,ALB,"Albany, NY: Albany International",21.0,4.0,0.08,0.31,2.71,0.0,0.9,3.0,0.0,227.0,5.0,22.0,103.0,0.0,97.0
2102,2019,12,YV,Mesa Airlines Inc.,ALB,"Albany, NY: Albany International",12.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,76.0,28.0,0.0,18.0,0.0,30.0
2336,2019,12,OH,PSA Airlines Inc.,ALB,"Albany, NY: Albany International",67.0,17.0,5.61,0.0,3.92,0.0,7.47,2.0,0.0,1082.0,469.0,0.0,277.0,0.0,336.0
2434,2019,12,OO,SkyWest Airlines Inc.,ALB,"Albany, NY: Albany International",168.0,34.0,12.03,0.96,8.84,0.22,11.96,4.0,0.0,3691.0,1462.0,735.0,576.0,4.0,914.0
2685,2019,12,UA,United Air Lines Inc.,ALB,"Albany, NY: Albany International",43.0,10.0,3.98,0.94,2.28,0.0,2.8,1.0,0.0,1259.0,197.0,410.0,119.0,0.0,533.0
2791,2019,12,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",308.0,81.0,38.08,0.0,5.05,0.22,37.64,17.0,0.0,4103.0,1779.0,0.0,143.0,40.0,2141.0
2843,2019,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0
2950,2019,12,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International",86.0,9.0,4.63,0.0,2.89,0.0,1.48,1.0,0.0,412.0,200.0,0.0,78.0,0.0,134.0
3132,2019,12,B6,JetBlue Airways,ALB,"Albany, NY: Albany International",62.0,13.0,4.95,0.0,5.31,0.0,2.74,0.0,0.0,856.0,390.0,0.0,223.0,0.0,243.0
3198,2019,12,DL,Delta Air Lines Inc.,ALB,"Albany, NY: Albany International",103.0,29.0,12.82,3.37,5.43,0.0,7.38,0.0,0.0,2133.0,504.0,1101.0,208.0,0.0,320.0
3345,2019,12,EV,ExpressJet Airlines LLC,ALB,"Albany, NY: Albany International",16.0,12.0,4.23,0.0,3.03,0.0,4.75,1.0,0.0,858.0,443.0,0.0,186.0,0.0,229.0
